_id,Date,HB,HealthcareCdiffInfection,HealthcareCdiffInfectionQF,HealthcareEcoliBacteraemia,HealthcareEcoliBacteraemiaQF,HealthcareSaureusBacteraemia,HealthcareSaureusBacteraemiaQF,HealthcareTotalOccupiedBedDays,HealthcareTotalOccupiedBedDaysQF,CommunityCdiffInfection,CommunityCdiffInfectionQF,CommunityEcoliBacteraemia,CommunityEcoliBacteraemiaQF,CommunitySaureusBacteraemia,CommunitySaureusBacteraemiaQF,CommunityAnnualisedPopulation,CommunityAnnualisedPopulationQF,HipArthroplastySSI,HipArthroplastySSIQF,HipArthroplastyProcedures,HipArthroplastyProceduresQF,CsectionSSI,CsectionSSIQF,CsectionProcedures,CsectionProceduresQF
1,2017Q1,S08000015,26,"",47,"",18,"",119981,"",12,"",48,"",6,"",91333.9726,"",0,"",145,"",1,"",252,""
2,2017Q1,S08000016,5,"",15,"",4,"",33461,"",0,"",21,"",2,"",28361.09589,"",1,"",64,"",0,"",54,""
3,2017Q1,S08000017,7,"",11,"",6,"",43221,"",2,"",21,"",10,"",36789.0411,"",0,"",53,"",2,"",55,""
4,2017Q1,S08000019,4,"",24,"",21,"",85603,"",2,"",35,"",7,"",75348.49315,"",1,"",52,"",3,"",211,""
5,2017Q1,S08000020,25,"",43,"",20,"",145904,"",9,"",57,"",17,"",144586.8493,"",1,"",264,"",6,"",406,""
6,2017Q1,S08000022,18,"",22,"",6,"",78104,"",4,"",35,"",10,"",79394.79452,"",0,"",86,"",6,"",169,""
7,2017Q1,S08000024,47,"",90,"",28,"",259482,"",10,"",52,"",30,"",219316.4384,"",3,"",258,"",5,"",677,""
8,2017Q1,S08000025,0,"",1,"",0,"",3608,"",0,"",0,"",0,"",5424.657534,"",0,"",0,"",0,"",0,""
9,2017Q1,S08000026,0,"",1,"",1,"",2383,"",0,"",1,"",1,"",5690.958904,"",0,"",0,"",0,"",7,""
10,2017Q1,S08000028,0,"",3,"",1,"",8557,"",0,"",0,"",2,"",6645.205479,"",0,"",14,"",0,"",15,""
11,2017Q1,S08000029,10,"",35,"",13,"",94451,"",3,"",28,"",7,"",91580.54795,"",0,"",108,"",4,"",213,""
12,2017Q1,S08000030,17,"",58,"",18,"",106222,"",6,"",40,"",7,"",102597.5342,"",2,"",192,"",3,"",259,""
13,2017Q1,S08000031,77,"",137,"",84,"",439173,"",16,"",143,"",28,"",288273.6986,"",3,"",382,"",20,"",1349,""
14,2017Q1,S08000032,20,"",60,"",35,"",147866,"",10,"",90,"",15,"",162278.6301,"",1,"",99,"",8,"",380,""
15,2017Q1,SB0801,1,"",0,"",4,"",11569,"",,z,,z,,z,,z,0,"",447,"",,z,,z
16,2017Q2,S08000015,25,"",49,"",15,"",116808,"",4,"",53,"",8,"",92348.79452,"",1,"",143,"",4,"",283,""
17,2017Q2,S08000016,3,"",13,"",6,"",32504,"",2,"",19,"",3,"",28676.21918,"",0,"",62,"",0,"",68,""
18,2017Q2,S08000017,7,"",17,"",5,"",43510,"",12,"",27,"",5,"",37197.80822,"",1,"",52,"",1,"",74,""
19,2017Q2,S08000019,8,"",37,"",14,"",84320,"",7,"",36,"",3,"",76185.69863,"",0,"",51,"",1,"",233,""
20,2017Q2,S08000020,33,"",44,"",20,"",138958,"",17,"",51,"",9,"",146193.3699,"",0,"",288,"",7,"",416,""
21,2017Q2,S08000022,5,"",15,"",6,"",74844,"",8,"",47,"",7,"",80276.9589,"",0,"",115,"",3,"",176,""
22,2017Q2,S08000024,34,"",70,"",29,"",256027,"",9,"",82,"",20,"",221753.2877,"",4,"",247,"",5,"",658,""
23,2017Q2,S08000025,1,"",1,"",1,"",3521,"",1,"",3,"",1,"",5484.931507,"",0,"",0,"",1,"",12,""
24,2017Q2,S08000026,0,"",2,"",0,"",2201,"",0,"",2,"",0,"",5754.191781,"",0,"",0,"",0,"",8,""
25,2017Q2,S08000028,0,"",1,"",1,"",7803,"",0,"",6,"",1,"",6719.041096,"",0,"",18,"",0,"",13,""
26,2017Q2,S08000029,13,"",28,"",20,"",90490,"",2,"",28,"",16,"",92598.10959,"",0,"",113,"",6,"",201,""
27,2017Q2,S08000030,14,"",40,"",19,"",109040,"",10,"",28,"",10,"",103737.5068,"",5,"",175,"",10,"",284,""
28,2017Q2,S08000031,79,"",157,"",86,"",433299,"",22,"",171,"",33,"",291476.7397,"",7,"",443,"",10,"",1316,""
29,2017Q2,S08000032,16,"",60,"",26,"",144126,"",6,"",109,"",10,"",164081.726,"",0,"",113,"",3,"",373,""
30,2017Q2,SB0801,0,"",0,"",0,"",11614,"",,z,,z,,z,,z,1,"",481,"",,z,,z
31,2017Q3,S08000015,28,"",60,"",17,"",118443,"",7,"",57,"",15,"",93363.61644,"",1,"",122,"",5,"",314,""
32,2017Q3,S08000016,6,"",12,"",6,"",32452,"",1,"",14,"",7,"",28991.34247,"",0,"",70,"",0,"",80,""
33,2017Q3,S08000017,13,"",14,"",4,"",41406,"",4,"",19,"",3,"",37606.57534,"",0,"",36,"",0,"",88,""
34,2017Q3,S08000019,14,"",25,"",18,"",80291,"",8,"",52,"",6,"",77022.90411,"",0,"",51,"",5,"",259,""
35,2017Q3,S08000020,26,"",64,"",31,"",136682,"",15,"",51,"",12,"",147799.8904,"",2,"",252,"",8,"",490,""
36,2017Q3,S08000022,12,"",22,"",11,"",73950,"",4,"",35,"",9,"",81159.12329,"",0,"",112,"",2,"",186,""
37,2017Q3,S08000024,29,"",74,"",39,"",252661,"",11,"",85,"",13,"",224190.137,"",0,"",262,"",10,"",765,""
38,2017Q3,S08000025,2,"",2,"",1,"",2936,"",1,"",2,"",0,"",5545.205479,"",0,"",0,"",0,"",9,""
39,2017Q3,S08000026,0,"",3,"",2,"",2600,"",0,"",3,"",0,"",5817.424658,"",0,"",0,"",0,"",12,""
40,2017Q3,S08000028,0,"",3,"",1,"",7180,"",0,"",4,"",0,"",6792.876712,"",0,"",14,"",0,"",14,""
41,2017Q3,S08000029,12,"",25,"",13,"",87701,"",7,"",48,"",11,"",93615.67123,"",1,"",99,"",11,"",244,""
42,2017Q3,S08000030,19,"",56,"",26,"",123857,"",7,"",41,"",11,"",104877.4795,"",2,"",170,"",4,"",314,""
43,2017Q3,S08000031,102,"",139,"",76,"",426025,"",27,"",176,"",25,"",294679.7808,"",2,"",343,"",12,"",1360,""
44,2017Q3,S08000032,25,"",84,"",28,"",139493,"",11,"",90,"",15,"",165884.8219,"",0,"",99,"",1,"",379,""
45,2017Q3,SB0801,0,"",2,"",5,"",11658,"",,z,,z,,z,,z,1,"",447,"",,z,,z
46,2017Q4,S08000015,18,"",57,"",14,"",123003,"",6,"",50,"",6,"",93363.61644,"",0,"",143,"",2,"",299,""
47,2017Q4,S08000016,6,"",13,"",4,"",32440,"",1,"",9,"",2,"",28991.34247,"",1,"",55,"",1,"",70,""
48,2017Q4,S08000017,11,"",9,"",3,"",42845,"",1,"",21,"",6,"",37606.57534,"",2,"",36,"",0,"",75,""
49,2017Q4,S08000019,3,"",34,"",16,"",86859,"",5,"",46,"",5,"",77022.90411,"",0,"",60,"",4,"",227,""
50,2017Q4,S08000020,22,"",49,"",22,"",137146,"",7,"",46,"",17,"",147799.8904,"",2,"",297,"",6,"",467,""
51,2017Q4,S08000022,15,"",14,"",6,"",74412,"",7,"",36,"",2,"",81159.12329,"",0,"",101,"",3,"",149,""
52,2017Q4,S08000024,34,"",56,"",39,"",256805,"",15,"",85,"",17,"",224190.137,"",0,"",199,"",10,"",686,""
53,2017Q4,S08000025,0,"",2,"",0,"",3819,"",0,"",5,"",0,"",5545.205479,"",0,"",0,"",0,"",2,""
54,2017Q4,S08000026,1,"",4,"",1,"",2589,"",0,"",1,"",0,"",5817.424658,"",0,"",0,"",0,"",6,""
55,2017Q4,S08000028,2,"",4,"",2,"",7572,"",0,"",4,"",1,"",6792.876712,"",0,"",9,"",0,"",17,""
56,2017Q4,S08000029,11,"",28,"",11,"",89968,"",4,"",43,"",13,"",93615.67123,"",0,"",114,"",9,"",227,""
57,2017Q4,S08000030,10,"",54,"",23,"",126195,"",2,"",46,"",25,"",104877.4795,"",1,"",170,"",7,"",301,""
58,2017Q4,S08000031,74,"",140,"",88,"",433674,"",17,"",178,"",28,"",294679.7808,"",6,"",397,"",17,"",1311,""
59,2017Q4,S08000032,28,"",64,"",30,"",143304,"",9,"",88,"",10,"",165884.8219,"",1,"",111,"",7,"",387,""
60,2017Q4,SB0801,0,"",1,"",3,"",12434,"",,z,,z,,z,,z,3,"",379,"",,z,,z
61,2018Q1,S08000015,18,"",56,"",23,"",122158,"",8,"",50,"",9,"",91151.50685,"",0,"",129,"",3,"",319,""
62,2018Q1,S08000016,4,"",10,"",12,"",32986,"",0,"",15,"",3,"",28422.73973,"",1,"",44,"",0,"",57,""
63,2018Q1,S08000017,14,"",19,"",2,"",44662,"",4,"",18,"",7,"",36687.94521,"",1,"",37,"",2,"",72,""
64,2018Q1,S08000019,1,"",29,"",19,"",85107,"",0,"",35,"",6,"",75469.31507,"",0,"",48,"",9,"",231,""
65,2018Q1,S08000020,32,"",48,"",28,"",142190,"",12,"",53,"",15,"",144135.6164,"",4,"",302,"",3,"",392,""
66,2018Q1,S08000022,13,"",15,"",5,"",75230,"",15,"",35,"",12,"",79347.94521,"",0,"",55,"",7,"",184,""
67,2018Q1,S08000024,42,"",75,"",40,"",258580,"",12,"",65,"",24,"",221367.9452,"",5,"",206,"",12,"",679,""
68,2018Q1,S08000025,0,"",1,"",0,"",3683,"",1,"",1,"",0,"",5471.506849,"",0,"",0,"",1,"",3,""
69,2018Q1,S08000026,1,"",2,"",2,"",2410,"",0,"",0,"",1,"",5668.767123,"",0,"",0,"",0,"",7,""
70,2018Q1,S08000028,0,"",3,"",2,"",8190,"",1,"",6,"",1,"",6615.616438,"",0,"",16,"",0,"",12,""
71,2018Q1,S08000029,6,"",35,"",16,"",91836,"",2,"",29,"",13,"",91703.83562,"",1,"",113,"",7,"",209,""
72,2018Q1,S08000030,12,"",43,"",17,"",124965,"",4,"",38,"",13,"",102595.0685,"",2,"",173,"",7,"",279,""
73,2018Q1,S08000031,64,"",147,"",96,"",435205,"",17,"",129,"",18,"",289721.0959,"",2,"",338,"",10,"",1255,""
74,2018Q1,S08000032,19,"",39,"",30,"",143873,"",10,"",104,"",13,"",162542.4658,"",0,"",98,"",3,"",276,""
75,2018Q1,SB0801,2,"",2,"",4,"",11871,"",,z,,z,,z,,z,1,"",449,"",,z,,z
76,2018Q2,S08000015,10,"",64,"",16,"",115914,"",9,"",51,"",9,"",92164.30137,"",0,"",133,"",2,"",302,""
77,2018Q2,S08000016,3,"",12,"",6,"",31525,"",1,"",24,"",3,"",28738.54795,"",0,"",74,"",0,"",71,""
78,2018Q2,S08000017,7,"",16,"",4,"",42410,"",5,"",19,"",5,"",37095.58904,"",0,"",45,"",2,"",78,""
79,2018Q2,S08000019,9,"",38,"",8,"",83252,"",2,"",48,"",13,"",76307.86301,"",0,"",48,"",4,"",255,""
80,2018Q2,S08000020,43,"",39,"",27,"",136123,"",33,"",50,"",9,"",145737.1233,"",1,"",296,"",6,"",498,""
81,2018Q2,S08000022,22,"",13,"",14,"",73332,"",7,"",42,"",10,"",80229.58904,"",0,"",102,"",2,"",154,""
